Name,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22
Page_0001_1_1_1_out,132.4228855721393,32.75373134328358,261.0,87.0,127.0,136.0,94.0,2.0,94.0,53.0,115.0,15.0,115.0,84.0,168.0,16.0,168.0,78.0,181.0,7.0,181.0,51.0
Page_0001_1_1_2_in,110.9375,32.9375,211.0,81.0,114.0,136.0,84.0,4.0,84.0,45.0,98.0,11.0,98.0,71.0,157.0,22.0,157.0,62.0,158.0,19.0,158.0,42.0
Page_0001_1_1_3_out,155.1013215859031,34.39647577092511,306.0,89.0,160.0,174.0,118.0,1.0,118.0,60.0,142.0,13.0,142.0,84.0,188.0,23.0,188.0,86.0,203.0,14.0,203.0,57.0
Page_0001_1_1_4_in,87.57666666666667,37.67,183.0,82.0,76.0,98.0,48.0,2.0,48.0,51.0,67.0,11.0,67.0,79.0,116.0,25.0,116.0,71.0,120.0,22.0,120.0,50.0
Page_0001_1_2_1_in,149.89269406392694,30.958904109589042,291.0,83.0,145.0,171.0,110.0,2.0,110.0,54.0,127.0,8.0,127.0,77.0,184.0,9.0,184.0,79.0,203.0,2.0,203.0,47.0
Page_0001_1_2_2_out,109.30513595166163,29.764350453172206,224.0,73.0,97.0,110.0,70.0,1.0,70.0,45.0,81.0,9.0,81.0,66.0,136.0,16.0,136.0,62.0,141.0,12.0,141.0,37.0
Page_0001_1_2_3_in,119.64764267990074,41.4863523573201,238.0,100.0,114.0,125.0,71.0,14.0,71.0,60.0,85.0,19.0,85.0,92.0,140.0,13.0,140.0,97.0,167.0,1.0,167.0,61.0
Page_0001_1_2_4_out,120.54347826086956,33.18478260869565,231.0,86.0,115.0,134.0,90.0,11.0,90.0,51.0,102.0,19.0,102.0,80.0,146.0,14.0,146.0,82.0,164.0,3.0,164.0,49.0
Page_0001_1_3_1_in,101.72701149425288,39.1551724137931,196.0,87.0,87.0,120.0,52.0,8.0,52.0,57.0,70.0,19.0,70.0,82.0,131.0,10.0,131.0,83.0,155.0,1.0,155.0,54.0
Page_0001_1_3_2_out,113.15047021943573,35.78369905956113,198.0,80.0,123.0,136.0,99.0,11.0,99.0,51.0,113.0,20.0,113.0,77.0,161.0,10.0,161.0,68.0,175.0,3.0,175.0,48.0
Page_0001_1_3_3_in,120.12394366197184,35.943661971830984,235.0,84.0,108.0,129.0,77.0,11.0,77.0,54.0,89.0,20.0,89.0,77.0,158.0,14.0,158.0,72.0,172.0,7.0,172.0,49.0
Page_0001_1_3_4_out,113.02064896755162,25.678466076696164,236.0,70.0,96.0,109.0,63.0,4.0,63.0,40.0,70.0,10.0,70.0,60.0,127.0,10.0,127.0,61.0,135.0,4.0,135.0,37.0
Page_0001_1_4_1_in,100.54458598726114,35.02547770700637,214.0,76.0,81.0,104.0,48.0,3.0,48.0,44.0,58.0,9.0,58.0,64.0,123.0,19.0,123.0,64.0,127.0,17.0,127.0,42.0
Page_0001_1_4_2_out,118.63172043010752,33.76881720430107,245.0,80.0,112.0,129.0,69.0,2.0,69.0,42.0,97.0,16.0,97.0,76.0,144.0,24.0,144.0,75.0,154.0,16.0,154.0,56.0
Page_0001_1_4_3_in,105.28938906752411,33.733118971061096,199.0,81.0,107.0,126.0,79.0,4.0,79.0,43.0,98.0,13.0,98.0,77.0,152.0,20.0,152.0,66.0,158.0,19.0,158.0,47.0
Page_0001_1_4_4_out,133.84102564102565,39.55897435897436,267.0,90.0,122.0,152.0,85.0,5.0,85.0,57.0,106.0,22.0,106.0,85.0,174.0,32.0,174.0,82.0,187.0,22.0,187.0,67.0
Page_0001_1_5_1_in,101.22636103151862,30.56160458452722,224.0,83.0,76.0,94.0,43.0,3.0,43.0,41.0,57.0,9.0,57.0,73.0,106.0,15.0,106.0,75.0,121.0,9.0,121.0,47.0
Page_0001_1_5_2_out,97.77077363896848,47.32378223495702,199.0,96.0,88.0,114.0,47.0,8.0,47.0,63.0,71.0,24.0,71.0,91.0,125.0,26.0,125.0,93.0,141.0,18.0,141.0,71.0
Page_0001_1_5_3_in,112.41194029850746,29.686567164179106,214.0,80.0,115.0,128.0,82.0,3.0,82.0,42.0,99.0,12.0,99.0,73.0,150.0,11.0,150.0,69.0,163.0,7.0,163.0,47.0
