piece,status,X1,Y1,IO1,X2,Y2,IO2,X3,Y3,IO3,X4,Y4,IO4
Page_0001_5_7,s,404,355,1,426,127,0,126,151,1,136,355,0
Page_0001_5_6,s,450,187,0,211,428,1,458,421,0,199,201,1
Page_0001_5_5,s,452,380,1,469,173,0,197,400,1,185,183,0
Page_0001_5_4,s,472,152,1,181,391,0,156,180,1,462,367,0
Page_0001_5_3,s,471,379,0,440,153,1,158,389,0,187,186,1
Page_0001_5_2,s,445,117,1,186,400,0,170,182,1,491,327,0
Page_0001_5_1,s,170,390,0,170,162,1,451,157,0,452,391,1
Page_0001_4_7,s,473,138,1,196,378,0,206,179,1,492,372,0
Page_0001_4_6,s,206,367,0,457,395,1,226,168,0,506,167,1
Page_0001_4_5,s,470,164,1,188,403,0,175,158,1,463,345,0
Page_0001_4_4,s,487,416,0,229,429,1,476,197,0,215,202,1
Page_0001_4_3,s,205,422,1,467,398,0,486,174,1,192,209,0
Page_0001_4_2,s,188,137,0,438,382,1,196,381,0,479,175,1
Page_0001_4_1,s,176,379,1,447,124,0,182,181,1,474,359,0
Page_0001_3_7,s,481,393,1,216,375,0,222,170,1,519,165,0
Page_0001_3_6,s,209,158,0,225,394,1,464,397,0,505,182,1
Page_0001_3_5,s,477,163,1,194,399,0,209,201,1,496,382,0
Page_0001_3_4,s,445,420,0,209,398,1,216,151,0,515,214,1
Page_0001_3_3,s,437,169,1,452,389,0,144,395,1,167,203,0
Page_0001_3_2,s,497,145,0,218,147,1,499,373,0,221,376,1
Page_0001_3_1,s,469,400,1,442,174,0,192,192,1,190,402,0
Page_0001_2_7,s,239,163,1,504,378,0,198,362,1,509,176,0
Page_0001_2_6,s,483,379,0,252,384,1,481,157,0,259,181,1
Page_0001_2_5,s,442,168,1,431,373,0,243,123,1,202,374,0
Page_0001_2_4,s,445,404,1,210,166,0,229,405,1,441,201,0
Page_0001_2_3,s,456,154,0,213,173,1,477,387,0,246,389,1
Page_0001_2_2,s,216,393,0,440,176,1,449,387,0,225,201,1
Page_0001_2_1,s,212,395,1,429,153,0,429,368,1,222,131,0
Page_0001_1_7,s,427,136,1,159,170,0,152,365,1,437,351,0
Page_0001_1_6,s,442,143,1,396,396,0,192,346,1,223,134,0
Page_0001_1_5,s,474,200,0,230,403,1,239,187,0,445,396,1
Page_0001_1_4,s,480,180,0,234,398,1,442,422,0,256,136,1
Page_0001_1_3,s,211,171,0,410,168,1,453,385,0,199,405,1
Page_0001_1_2,s,484,375,0,239,395,1,502,150,0,207,163,1
Page_0001_1_1,s,456,391,1,195,169,0,471,174,1,155,365,0
