piece,status,IO1,IO2,IO3,IO4,Index1_1,X1_1,Y1_1,Index1_2,X1_2,Y1_2,Index2_1,X2_1,Y2_1,Index2_2,X2_2,Y2_2,Index3_1,X3_1,Y3_1,Index3_2,X3_2,Y3_2,Index4_1,X4_1,Y4_1,Index4_2,X4_2,Y4_2
Page_0001_1_1,2,1,2,1,2,200,105,62,531,323,67,536,324,72,978,312,367,981,311,370,1297,113,339,1301,112,335,198,104,64
Page_0001_1_2,2,2,1,2,1,49,85,98,417,315,70,421,319,72,861,325,364,864,322,365,1190,100,340,1193,97,338,47,83,100
Page_0001_1_3,2,1,2,1,2,190,89,103,564,342,103,568,343,107,899,309,334,902,307,337,1247,116,323,1250,114,320,187,88,106
Page_0001_1_4,2,2,1,2,1,245,81,120,627,340,103,629,342,104,956,334,329,960,330,330,1324,89,327,1326,87,326,243,79,121
Page_0001_1_5,2,2,1,2,1,47,109,98,389,298,115,393,301,118,726,319,326,728,317,328,1075,105,330,1078,102,328,44,106,100
Page_0001_1_6,2,1,2,1,2,151,107,93,490,314,103,493,315,106,832,330,320,836,328,324,1209,77,302,1213,75,299,148,105,96
Page_0001_1_7,2,2,1,2,1,249,74,113,683,355,101,686,358,102,996,349,295,999,346,296,1402,82,324,1405,79,323,245,71,114
Page_0001_2_1,2,1,2,1,2,149,102,99,486,314,100,489,315,103,825,341,314,829,340,317,1239,82,308,1242,81,305,146,100,102
Page_0001_2_2,2,2,1,2,1,310,106,99,650,294,114,652,296,116,988,315,324,991,313,326,1333,106,330,1336,103,329,308,105,101
Page_0001_2_3,2,2,1,2,1,282,99,85,630,332,79,633,334,81,1020,320,307,1022,318,308,1366,105,324,1369,102,322,279,96,87
Page_0001_2_4,2,1,2,1,2,179,98,106,533,333,96,536,335,99,928,294,322,931,293,325,1262,93,321,1266,91,318,176,97,109
Page_0001_2_5,2,1,2,1,2,158,105,116,497,305,96,500,307,99,854,342,319,858,341,323,1235,94,321,1239,92,317,155,104,119
Page_0001_2_6,2,2,1,2,1,302,102,104,663,301,117,665,303,118,1017,324,338,1021,320,340,1372,102,335,1375,99,333,300,100,106
Page_0001_2_7,2,2,1,2,1,230,63,114,682,364,101,684,366,102,987,345,300,991,341,301,1403,78,313,1407,74,313,227,60,116
Page_0001_3_1,2,1,2,1,2,188,91,90,538,314,67,541,316,70,1001,311,345,1005,309,349,1335,105,338,1339,103,335,184,90,94
Page_0001_3_2,2,2,1,2,1,298,104,66,638,328,71,642,332,73,1099,328,344,1104,323,347,1456,102,341,1460,98,339,294,100,69
Page_0001_3_3,2,1,2,1,2,192,98,69,529,318,65,532,319,68,981,305,369,985,304,373,1294,120,341,1298,118,337,189,98,72
Page_0001_3_4,2,2,1,2,1,25,73,105,393,309,50,397,313,52,844,328,352,848,324,353,1182,109,335,1185,106,334,22,70,107
Page_0001_3_5,2,1,2,1,2,198,96,73,537,313,65,542,315,69,975,316,364,979,314,368,1295,122,343,1299,121,339,195,96,76
Page_0001_3_6,2,2,1,2,1,343,90,93,706,324,76,709,327,77,1136,303,369,1140,299,370,1465,89,329,1468,86,327,341,89,95
Page_0001_3_7,2,2,1,2,1,288,83,103,694,345,99,697,348,100,1018,358,300,1022,355,302,1456,63,331,1459,60,330,285,81,105
Page_0001_4_1,2,1,2,1,2,190,84,72,541,318,61,545,319,65,973,317,357,977,317,361,1297,124,340,1299,123,338,187,83,75
